City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
545,Laguna,US,61.14,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
557,Mareeba,AU,70.52,clear sky,-17.0,145.4333,Trinity Plains Tourist Park
562,Necochea,AR,62.04,broken clouds,-38.5473,-58.7368,dyd -mar Hotel
575,Mandan,US,57.36,clear sky,46.8267,-100.8896,Twin City Estates
576,Havelock,US,64.38,overcast clouds,34.8791,-76.9013,Sherwood Motel
581,Antofagasta,CL,63.68,clear sky,-23.65,-70.4,"Holiday Inn Express Antofagasta, an IHG Hotel"
583,Port Hueneme,US,70.02,haze,34.1478,-119.1951,Hampton Inn Channel Islands Harbor
584,Manacor,ES,59.88,overcast clouds,39.5696,3.2096,Hotel Can Guixa
590,Aurangabad,IN,72.5,broken clouds,19.8833,75.3333,OYO Rooms 012 Kushal Nagar
593,Charlottesville,US,56.68,clear sky,38.0293,-78.4767,Hampton Inn & Suites Charlottesville-At The University
602,Libertador General San Martin,AR,71.98,scattered clouds,-23.8064,-64.7876,Posada del Sol
605,Cordoba,AR,68.59,scattered clouds,-31.4135,-64.1811,Hotel Sussex
609,Mackay,AU,73.04,scattered clouds,-21.15,149.2,International Lodge Motel
610,Owatonna,US,61.16,clear sky,44.0839,-93.226,Executive Inn Owatonna
612,Antalaha,MG,73.62,broken clouds,-14.9003,50.2788,Hotel Vitasoa
615,Cookeville,US,56.86,clear sky,36.1628,-85.5016,La Quinta Inn & Suites by Wyndham Cookeville
620,Akyab,MM,74.61,clear sky,20.15,92.9,Hotel Memory
621,Vao,NC,67.35,few clouds,-22.6667,167.4833,Hotel Kou-Bugny
622,Najran,SA,70.45,clear sky,17.4924,44.1277,محمد هادي ال فطيح
624,Northam,GB,55.09,broken clouds,51.0333,-4.2167,Durrant House Hotel
627,Quarai,BR,68.38,overcast clouds,-30.3875,-56.4514,Hotel Casino San Eugenio del Cuareim
634,Brigantine,US,57.34,few clouds,39.4101,-74.3646,Legacy Vacation Resorts Brigantine Beach
643,San Buenaventura,MX,67.59,clear sky,27.0833,-101.5333,Hotel Gran Plaza
647,Tabuk,PH,74.41,scattered clouds,17.4189,121.4443,Golden Berries Hotel and Convention
648,Bolu,TR,56.19,broken clouds,40.6667,31.5833,Sefa Green Hotel
649,Edgewater,US,70.0,broken clouds,28.9889,-80.9023,Islander Beach Resort
659,Agadir,MA,72.05,clear sky,30.4202,-9.5982,Iberostar Founty Beach
661,Chepareria,KE,65.28,overcast clouds,1.3077,35.2039,Hamza Lodge
