City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Nhulunbuy,AU,2021-11-05 23:16:07,-12.2333,136.7667,86.61,66,40,8.05
68,Nikolskoye,RU,2021-11-05 23:16:07,59.7035,30.7861,44.02,88,100,12.95
69,Avarua,CK,2021-11-05 23:16:08,-21.2078,-159.775,78.85,61,75,11.5
70,Verkhnevilyuysk,RU,2021-11-05 23:16:08,63.4453,120.3167,12.7,91,100,11.07
71,Bethel,US,2021-11-05 23:16:09,41.3712,-73.414,45.23,65,1,3.44
72,Aswan,EG,2021-11-05 23:16:10,24.0934,32.907,76.3,31,0,9.22
73,Balkanabat,TM,2021-11-05 23:16:10,39.5108,54.3671,42.48,18,100,7.2
74,Antofagasta,CL,2021-11-05 23:16:10,-23.65,-70.4,61.88,81,15,7.05
75,Tuatapere,NZ,2021-11-05 23:16:11,-46.1333,167.6833,61.83,49,99,3.83
76,Clarence Town,AU,2021-11-05 23:16:11,-32.5833,151.7833,73.98,70,84,4.05
77,Adrar,MR,2021-11-05 23:16:12,20.5022,-10.0711,73.24,32,40,9.62
78,Guanica,PR,2021-11-05 23:16:12,17.9716,-66.908,83.21,80,7,5.01
79,Kavieng,PG,2021-11-05 23:16:12,-2.5744,150.7967,84.4,71,88,13.85
80,Roros,NO,2021-11-05 23:16:13,62.5747,11.3842,30.04,86,90,4.61
81,Darhan,MN,2021-11-05 23:16:13,49.4867,105.9228,11.55,44,0,6.91
82,Port Hedland,AU,2021-11-05 23:16:14,-20.3167,118.5667,82.45,51,16,10.36
83,Hermanus,ZA,2021-11-05 23:16:14,-34.4187,19.2345,57.9,74,2,4.23
84,Kahului,US,2021-11-05 23:11:22,20.8947,-156.47,89.62,56,20,23.02
85,Lensk,RU,2021-11-05 23:16:15,60.7253,114.9278,14.38,90,100,17.05
86,North Bend,US,2021-11-05 23:16:15,43.4065,-124.2243,56.86,92,90,6.91
87,Pochutla,MX,2021-11-05 23:17:16,15.7432,-96.4661,84.02,73,20,6.11
88,Kavaratti,IN,2021-11-05 23:17:16,10.5669,72.642,82.02,78,71,14.29
89,Sfantu Gheorghe,RO,2021-11-05 23:17:16,45.8667,25.7833,50.94,92,37,1.99
90,Parrita,CR,2021-11-05 23:17:17,9.5201,-84.3225,84.52,87,63,2.21
91,El Tambo,CO,2021-11-05 23:17:17,1.4181,-77.3968,55.89,96,93,3.04
92,Verkhnyaya Toyma,RU,2021-11-05 23:17:18,62.2349,44.9985,45.72,94,100,10.47
93,Krasnoselkup,RU,2021-11-05 23:17:18,65.7,82.4667,1.06,100,86,3.74
94,Severo-Kurilsk,RU,2021-11-05 23:17:19,50.6789,156.125,37.35,77,99,14.65
95,Mount Isa,AU,2021-11-05 23:17:19,-20.7333,139.5,91.17,43,23,8.05
96,Cherskiy,RU,2021-11-05 23:17:20,68.75,161.3,2.1,88,99,9.24
97,Sakaiminato,JP,2021-11-05 23:17:20,35.55,133.2333,51.78,93,75,1.14
98,Barrow,US,2021-11-05 23:17:20,71.2906,-156.7887,19.42,86,90,27.63
99,Yellowknife,CA,2021-11-05 23:15:49,62.456,-114.3525,29.41,99,75,6.91
100,Sao Gabriel Da Cachoeira,BR,2021-11-05 23:17:21,-0.1303,-67.0892,76.53,91,85,1.07
101,Tuktoyaktuk,CA,2021-11-05 23:17:21,69.4541,-133.0374,21.2,93,90,8.05
102,Faanui,PF,2021-11-05 23:17:22,-16.4833,-151.75,79.61,75,99,9.64
103,Torbay,CA,2021-11-05 23:17:22,47.6666,-52.7314,37.58,90,90,8.05
104,Khatanga,RU,2021-11-05 23:17:23,71.9667,102.5,-1.44,92,96,16.44
105,Ponta Do Sol,PT,2021-11-05 23:17:23,32.6667,-17.1,67.71,69,15,9.13
106,Okhotsk,RU,2021-11-05 23:17:23,59.3833,143.3,32.2,97,100,15.28
