City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
59,Bethel,US,2021-11-06 17:06:38,41.3712,-73.414,52.99,51,1,1.01,clear sky
60,Hasaki,JP,2021-11-06 17:14:48,35.7333,140.8333,55.8,62,100,9.35,overcast clouds
61,Hilo,US,2021-11-06 17:14:49,19.7297,-155.09,77.29,72,1,8.05,clear sky
62,Knysna,ZA,2021-11-06 17:14:49,-34.0363,23.0471,61.02,71,87,3.8,overcast clouds
63,Acapulco,MX,2021-11-06 17:14:50,16.8634,-99.8901,83.52,66,91,2.95,overcast clouds
64,Francisco Sa,BR,2021-11-06 17:14:50,-16.4758,-43.4883,87.37,47,84,3.15,broken clouds
65,Codrington,AU,2021-11-06 17:14:51,-38.2667,141.9667,51.93,73,100,9.57,overcast clouds
66,Avarua,CK,2021-11-06 17:14:51,-21.2078,-159.775,73.45,73,40,5.75,scattered clouds
67,Honolulu,US,2021-11-06 17:10:31,21.3069,-157.8583,76.86,74,20,1.99,few clouds
68,Bozhou,CN,2021-11-06 17:14:52,33.8772,115.7703,53.83,88,95,16.67,light rain
69,Korla,CN,2021-11-06 17:14:52,41.7597,86.1469,27.37,41,0,4.63,clear sky
70,Constitucion,CL,2021-11-06 17:14:52,-35.3333,-72.4167,59.85,60,44,6.6,scattered clouds
71,Kysyl-Syr,RU,2021-11-06 17:14:53,63.8986,122.7617,1.49,99,100,4.09,overcast clouds
72,Kutum,SD,2021-11-06 17:14:53,14.2,24.6667,79.43,21,3,9.33,clear sky
73,Qaanaaq,GL,2021-11-06 17:06:37,77.484,-69.3632,8.22,72,99,7.92,overcast clouds
74,Eyl,SO,2021-11-06 17:14:54,7.9803,49.8164,78.71,65,69,9.91,broken clouds
75,Jamestown,US,2021-11-06 17:06:38,42.097,-79.2353,50.29,46,1,3.0,clear sky
76,Noumea,NC,2021-11-06 17:14:55,-22.2763,166.4572,62.58,72,29,3.78,scattered clouds
77,Mitsamiouli,KM,2021-11-06 17:14:56,-11.3847,43.2844,80.78,77,79,4.56,broken clouds
78,Tsumeb,NA,2021-11-06 17:14:56,-19.2333,17.7167,89.76,22,99,9.22,overcast clouds
79,Maltahohe,NA,2021-11-06 17:14:56,-24.8333,16.9833,79.92,9,54,19.62,broken clouds
80,Kirovskiy,RU,2021-11-06 17:14:57,45.0917,133.5136,27.95,35,100,8.81,light snow
81,Batticaloa,LK,2021-11-06 17:14:58,7.7102,81.6924,79.11,80,75,10.33,light rain
82,Hamilton,US,2021-11-06 17:10:31,39.1834,-84.5333,56.75,47,1,1.01,clear sky
83,Yellowknife,CA,2021-11-06 17:02:04,62.456,-114.3525,30.42,99,100,1.01,overcast clouds
84,Colares,PT,2021-11-06 17:14:58,38.7992,-9.4469,61.79,34,0,1.99,clear sky
85,Torbay,CA,2021-11-06 17:14:59,47.6666,-52.7314,41.29,79,94,4.0,light rain
86,Arman,RU,2021-11-06 17:14:59,59.7,150.1667,34.95,94,100,16.8,overcast clouds
87,Faanui,PF,2021-11-06 17:15:00,-16.4833,-151.75,79.9,69,19,5.06,few clouds
88,Beyneu,KZ,2021-11-06 17:16:00,45.3167,55.2,39.22,47,0,13.13,clear sky
89,Klaksvik,FO,2021-11-06 17:06:35,62.2266,-6.589,47.32,98,100,27.09,overcast clouds
90,Chesma,RU,2021-11-06 17:16:01,53.8111,60.6533,32.23,29,100,19.35,overcast clouds
91,Srednekolymsk,RU,2021-11-06 17:16:02,67.45,153.6833,4.5,89,100,4.16,overcast clouds
92,Yumbel,CL,2021-11-06 17:15:13,-37.0833,-72.5667,73.63,28,0,3.13,clear sky
93,Upernavik,GL,2021-11-06 17:16:03,72.7868,-56.1549,12.87,81,11,9.28,few clouds
94,Touros,BR,2021-11-06 17:16:03,-5.1989,-35.4608,88.7,62,96,13.47,overcast clouds
95,Katsuura,JP,2021-11-06 17:16:04,35.1333,140.3,59.18,74,100,10.83,overcast clouds
96,Zatoka,UA,2021-11-06 17:16:04,46.0725,30.4654,50.54,63,100,11.48,overcast clouds
97,Poum,NC,2021-11-06 17:16:04,-20.2333,164.0167,73.51,67,88,5.59,overcast clouds
98,Norman Wells,CA,2021-11-06 17:16:05,65.282,-126.8329,24.84,93,75,2.3,broken clouds
99,Ancud,CL,2021-11-06 17:16:05,-41.8697,-73.8203,62.13,65,4,9.48,clear sky
100,Bintulu,MY,2021-11-06 17:16:06,3.1667,113.0333,79.21,94,40,3.44,scattered clouds
101,Olafsvik,IS,2021-11-06 17:16:06,64.8945,-23.7142,35.38,89,100,22.17,moderate rain
102,Carnot,CF,2021-11-06 17:16:07,4.9409,15.8665,80.08,69,62,3.8,broken clouds
103,Kloulklubed,PW,2021-11-06 17:16:07,7.0419,134.2556,84.25,74,85,8.48,overcast clouds
104,Hobart,AU,2021-11-06 17:02:30,-42.8794,147.3294,55.26,70,90,5.01,overcast clouds
105,New Norfolk,AU,2021-11-06 17:16:08,-42.7826,147.0587,53.65,61,84,3.0,broken clouds
106,Barrow,US,2021-11-06 17:16:08,71.2906,-156.7887,12.22,79,20,12.66,few clouds
107,At-Bashi,KG,2021-11-06 17:06:30,41.1702,75.8106,17.02,63,0,7.09,clear sky
108,Ponta Do Sol,PT,2021-11-06 17:16:09,32.6667,-17.1,70.43,48,15,6.78,few clouds
109,Putina,PE,2021-11-06 17:16:09,-15.4667,-69.4333,53.11,57,49,8.97,scattered clouds
110,Port Hedland,AU,2021-11-06 17:16:10,-20.3167,118.5667,78.85,83,12,12.66,few clouds
111,Jalu,LY,2021-11-06 17:16:10,29.0331,21.5482,77.04,29,0,7.11,clear sky
112,Nouadhibou,MR,2021-11-06 17:16:10,20.931,-17.0347,75.18,53,0,16.11,clear sky
113,Kamenka,RU,2021-11-06 17:16:11,51.3223,42.7678,47.57,83,100,14.18,light rain
114,Hithadhoo,MV,2021-11-06 17:16:11,-0.6,73.0833,82.4,75,100,13.24,overcast clouds
115,Linguere,SN,2021-11-06 17:16:12,15.3953,-15.1193,101.88,17,53,3.51,broken clouds
116,Narsaq,GL,2021-11-06 17:16:12,60.9167,-46.05,32.22,90,100,9.84,overcast clouds
117,Te Anau,NZ,2021-11-06 17:16:12,-45.4167,167.7167,44.2,89,54,0.49,broken clouds
118,Cabo San Lucas,MX,2021-11-06 17:16:13,22.8909,-109.9124,87.51,53,58,1.66,broken clouds
119,Velka Nad Velickou,CZ,2021-11-06 17:16:14,48.8826,17.5206,44.96,70,2,3.04,clear sky
120,Manggar,ID,2021-11-06 17:16:14,-2.8833,108.2667,80.13,82,99,2.75,overcast clouds
121,Aosta,IT,2021-11-06 17:16:15,45.7667,7.4167,33.84,47,0,2.3,clear sky
122,Kruisfontein,ZA,2021-11-06 17:16:15,-34.0033,24.7314,61.88,69,96,4.52,overcast clouds
123,Haimen,CN,2021-11-06 17:16:15,23.1935,116.6142,76.89,91,2,10.8,clear sky
124,Ankazoabo,MG,2021-11-06 17:16:16,-22.2833,44.5167,80.96,13,1,8.28,clear sky
125,Kenai,US,2021-11-06 17:16:16,60.5544,-151.2583,33.15,95,90,3.44,light snow
126,Marsabit,KE,2021-11-06 17:16:17,2.3284,37.9899,77.65,40,39,13.65,scattered clouds
